Question,Answers,Comments,Instructions,Render as
数/番号/数える,nan,,ランディ単語を当ててください！,Image
コブ/隆起/ボタン/山/鼻,ne,,ランディ単語を当ててください！,Image
数字の０,nen,,ランディ単語を当ててください！,Image
名前/単語,no,,ランディ単語を当ててください！,Image
眠り/眠る/寝る,non,,ランディ単語を当ててください！,Image
ＳＶ（主語・動詞）分離符,su,,ランディ単語を当ててください！,Image
大きい/長い/広い/太い/厚い/重い/重要,si,,ランディ単語を当ててください！,Image
新しい,sin,,ランディ単語を当ててください！,Image
変える/異なる/差,sa,,ランディ単語を当ててください！,Image
太陽/光,san,,ランディ単語を当ててください！,Image
後方/背後/裏側/背中/１つ前（⇔次）,se,,ランディ単語を当ててください！,Image
数字の３,sen,,ランディ単語を当ててください！,Image
知識/理解/賢い/知っている,so,,ランディ単語を当ててください！,Image
数字の２,son,,ランディ単語を当ててください！,Image
～という～/呼び掛け,xu,,ランディ単語を当ててください！,Image
神聖な/神/上方/空/丁度,xun,,ランディ単語を当ててください！,Image
命令/受け身,xi,,ランディ単語を当ててください！,Image
絵/写真/書く/描く,xin,,ランディ単語を当ててください！,Image
何か/物事,xa,,ランディ単語を当ててください！,Image
飾り/飾る/余分/派手/不要/過剰,xan,,ランディ単語を当ててください！,Image
感嘆/～よりも,xe,,ランディ単語を当ててください！,Image
色/塗る/カラフル,xen,,ランディ単語を当ててください！,Image
同じ/似ている,xo,,ランディ単語を当ててください！,Image
店/市場/売る,xon,,ランディ単語を当ててください！,Image
今/時間,pu,,ランディ単語を当ててください！,Image
しかし/～だけ,pun,,ランディ単語を当ててください！,Image
与える/置く/放つ,pi,,ランディ単語を当ててください！,Image
感情/感じる/考える/触る/気持ち,pin,,ランディ単語を当ててください！,Image
口/門,pa,,ランディ単語を当ててください！,Image
穀物/ご飯/パン/麺,pan,,ランディ単語を当ててください！,Image
冷たい/寒い/未調理,pe,,ランディ単語を当ててください！,Image
開ける/～し始める/開始/点ける,pen,,ランディ単語を当ててください！,Image
白い/あまい/明るい,po,,ランディ単語を当ててください！,Image
数字の４,pon,,ランディ単語を当ててください！,Image
青い/しょっぱい/遅い,bu,,ランディ単語を当ててください！,Image
騙す/嘘/贋物/演じる,bun,,ランディ単語を当ててください！,Image
側面/横/隣/近く/～と一緒に/加算,bi,,ランディ単語を当ててください！,Image
閉める/～し終える/終了/先端/末端,bin,,ランディ単語を当ててください！,Image
入れ物/器/鞄/箱,ba,,ランディ単語を当ててください！,Image
家/部屋,ban,,ランディ単語を当ててください！,Image
遠く/外す/不在/減算,be,,ランディ単語を当ててください！,Image
普通/一般/標準,ben,,ランディ単語を当ててください！,Image
棒状のもの/かっこいい,bo,,ランディ単語を当ててください！,Image
丸/円/輪/球/回す,bon,,ランディ単語を当ててください！,Image
聞く/従う/耳,tu,,ランディ単語を当ててください！,Image
数字の５,tun,,ランディ単語を当ててください！,Image
垂直面のある物/前方/正面/表側/次,ti,,ランディ単語を当ててください！,Image
汚す/穢す/ゴミ,tin,,ランディ単語を当ててください！,Image
目/中心/探す/調べる,ta,,ランディ単語を当ててください！,Image
～から/～によって/原因/理由,tan,,ランディ単語を当ててください！,Image
手/腕/握る,te,,ランディ単語を当ててください！,Image
足/脚/蹴る,ten,,ランディ単語を当ててください！,Image
水平面のある物/板/台/机/椅子,to,,ランディ単語を当ててください！,Image
数字の８,ton,,ランディ単語を当ててください！,Image
見る/読む/会う/景色/視界/～しようとする,du,,ランディ単語を当ててください！,Image
すべて/全体,dun,,ランディ単語を当ててください！,Image
良い/親しい/美しい/直す,di,,ランディ単語を当ててください！,Image
悪い/醜い,din,,ランディ単語を当ててください！,Image
狩り/狩る/集める/自分,da,,ランディ単語を当ててください！,Image
グループ/組/集団/会社/公衆,dan,,ランディ単語を当ててください！,Image
うまい/技/味,de,,ランディ単語を当ててください！,Image
数字の７,den,,ランディ単語を当ててください！,Image
方法/道/習慣/主義,do,,ランディ単語を当ててください！,Image
下方/床/底/凡そ,don,,ランディ単語を当ててください！,Image
赤い/からい/早い/速い,ku,,ランディ単語を当ててください！,Image
人,kun,,ランディ単語を当ててください！,Image
黄色い/すっぱい,ki,,ランディ単語を当ててください！,Image
だから/～も,kin,,ランディ単語を当ててください！,Image
～できる/可能な/有能な/許容する,ka,,ランディ単語を当ててください！,Image
～になる/来る/出来事/引き起こす,kan,,ランディ単語を当ててください！,Image
ひも状の物/線/糸/毛,ke,,ランディ単語を当ててください！,Image
～で（～を用いて）/使う,ken,,ランディ単語を当ててください！,Image
半固体の物/ゲル/蜜/砂/柔らかい,ko,,ランディ単語を当ててください！,Image
気体/空気/匂い/精神,kon,,ランディ単語を当ててください！,Image
～したい/欲しい/願い/意志,gu,,ランディ単語を当ててください！,Image
お金/富/買う,gun,,ランディ単語を当ててください！,Image
切る/分割/生命,gi,,ランディ単語を当ててください！,Image
食べる/飲む/摂取/消費/食料,gin,,ランディ単語を当ててください！,Image
強い/激しい/力,ga,,ランディ単語を当ててください！,Image
する/作る/活動/仕事/働く,gan,,ランディ単語を当ててください！,Image
熱い/暑い/火/調理する/調理済み,ge,,ランディ単語を当ててください！,Image
壊す/傷/失敗/事故,gen,,ランディ単語を当ててください！,Image
黒い/にがい/暗い/影,go,,ランディ単語を当ててください！,Image
数字の６,gon,,ランディ単語を当ててください！,Image
